cik,accession_nr,filing_date
938076,93807624000004,2024-05-08
938076,93807624000007,2024-08-08
938076,93807624000011,2024-11-08
938076,93807625000001,2025-02-10
938076,93807625000006,2025-05-12
944388,106299324010191,2024-05-14
944388,106299324014981,2024-08-13
944388,106299324018988,2024-11-13
944388,106299325002504,2025-02-14
944388,106299325009332,2025-05-14
946431,94643124000007,2024-07-11
946431,94643124000010,2024-10-11
946431,94643124000011,2024-11-07
946431,94643125000002,2025-01-22
946431,94643125000004,2025-04-14
946431,94643125000008,2025-07-10
947263,108935525000030,2025-02-19
947263,108935525000058,2025-05-15
947263,165495424010655,2024-08-14
947263,165495424014603,2024-11-18
1007280,100728024000003,2024-08-14
1007280,100728024000009,2024-11-15
1007280,100728025000001,2025-02-19
1007280,100728025000004,2025-05-14
1007280,100728025000005,2025-07-15
1017918,101791824000010,2024-05-15
1017918,101791824000013,2024-08-14
1017918,101791824000083,2024-11-14
1017918,101791825000019,2025-02-14
1017918,101791825000031,2025-05-15
1020066,102006624000004,2024-05-14
1020066,102006624000006,2024-08-13
1020066,102006624000010,2024-11-13
1020066,102006625000014,2025-02-13
1020066,184644425000006,2025-05-14
1021223,139834424009518,2024-05-14
1021223,139834424014530,2024-08-13
1021223,139834424020626,2024-11-13
1021223,139834425003207,2025-02-21
1021223,139834425009401,2025-05-14
1021926,117266124002105,2024-05-09
1021926,117266124003010,2024-08-01
1021926,117266124004477,2024-11-06
1021926,117266125000442,2025-01-31
1021926,117266125001767,2025-05-13
1021944,110465924061485,2024-05-15
1021944,110465924089184,2024-08-14
1021944,110465924106412,2024-10-07
1021944,110465924106415,2024-10-07
1021944,110465924118186,2024-11-14
1021944,110465925013359,2025-02-14
1021944,110465925049879,2025-05-16
1027796,102779624000007,2024-05-03
1027796,102779624000014,2024-08-02
1027796,102779624000048,2024-11-08
1027796,102779625000014,2025-02-07
1027796,102779625000029,2025-05-02
1027796,102779625000043,2025-07-25
1034524,117266124002149,2024-05-10
1034524,117266124003233,2024-08-12
1034524,117266125000622,2025-02-10
1034524,117266125000623,2025-02-10
1034524,117266125001713,2025-05-12
1050470,105047024000012,2024-05-06
1050470,105047024000013,2024-08-06
1050470,105047024000016,2024-11-12
1050470,105047025000004,2025-02-13
1050470,105047025000008,2025-05-09
1055964,114036124025673,2024-05-13
1055964,114036124037187,2024-08-14
1055964,114036124047036,2024-11-15
1055964,114036125003951,2025-02-12
1055964,114036125018316,2025-05-12
1056288,162363224000582,2024-05-14
1056288,162363224001187,2024-08-08
1056288,162363224001875,2024-11-13
1056288,162363225000197,2025-02-13
1056288,162363225000548,2025-05-08
1061186,106299324008789,2024-04-25
1061186,106299324014230,2024-07-31
1061186,106299324018248,2024-11-04
1061186,106299325002077,2025-02-11
1061186,106299325008104,2025-04-28
1061186,106299325013207,2025-07-29
1065521,106299324010266,2024-05-15
1065521,106299324015034,2024-08-14
